ADEL	ALP	true
ASTO	LIB	true
BALL	ALP	true
BANK	LIB	true
BARK	LIB	true
BART	ALP	true
BASS	LIB	true
BEAN	ALP	true
BEND	ALP	true
BENN	ALP	true
BERO	LIB	true
BLAI	ALP	true
BLAX	ALP	true
BONN	LNP	true
BOOT	ALP	true
BOWM	LNP	true
BRAD	LIB	true
BRFD	LIB	true
BRAN	ALP	true
BRIS	GRN	true
BRUC	ALP	true
BURT	ALP	true
CALA	NAT	true
CALW	ALP	true
CANB	ALP	true
CANN	LIB	true
CAPR	LNP	true
CASE	LIB	true
CHIF	ALP	true
CHIS	ALP	true
CLAR	IND	true
COOK	LIB	true
COOP	ALP	true
CORA	ALP	true
CORI	ALP	true
COWA	ALP	true
COWP	NAT	true
CUNN	ALP	true
CURT	IND	true
DAWS	LNP	true
DEAK	LIB	true
DICK	LNP	true
DOBE	ALP	true
DUNK	ALP	true
DURA	LIB	true
EMON	ALP	true
FADD	LNP	true
FAIR	LNP	true
FARR	LIB	true
FENN	ALP	true
FISH	LNP	true
FLIN	LIB	true
FLYN	LNP	true
FORD	LNP	true
FORR	LIB	true
FOWL	IND	true
FRAN	ALP	true
FRAS	ALP	true
FREM	ALP	true
GELL	ALP	true
GILM	ALP	true
GIPP	NAT	true
GOLD	IND	true
GORT	ALP	true
GRAY	ALP	true
GREE	ALP	true
GREY	LIB	true
GRIF	GRN	true
GROO	LNP	true
HASL	ALP	true
HAWK	ALP	true
HERB	LNP	true
HIGG	ALP	true
HIND	ALP	true
HINK	LNP	true
HOLT	ALP	true
HOTH	ALP	true
HUGH	LIB	true
HUME	LIB	true
HUNT	ALP	true
INDI	IND	true
ISAA	ALP	true
JAGA	ALP	true
KENN	KAP	true
KSMI	ALP	true
KING	ALP	true
KOOY	IND	true
LALO	ALP	true
LTRO	LIB	true
LEIC	LNP	true
LILL	ALP	true
LIND	LIB	true
LING	ALP	true
LONG	LNP	true
LYNE	NAT	true
LYON	ALP	true
MACA	ALP	true
MACK	IND	true
MACN	ALP	true
MACQ	ALP	true
MAKI	ALP	true
MALL	NAT	true
MARA	LNP	true
MARI	ALP	true
MAYO	CA	true
MCEW	ALP	true
MCMA	ALP	true
MCPH	LNP	true
MELB	GRN	true
MENZ	LIB	true
MITC	LIB	true
MONA	LIB	true
MONC	LNP	true
MOOR	LIB	true
MORE	ALP	true
NEWC	ALP	true
NENG	NAT	true
NICH	NAT	true
NSYD	IND	true
OCON	LIB	true
OXLE	ALP	true
PAGE	NAT	true
PARK	NAT	true
PARR	ALP	true
PATE	ALP	true
PEAR	ALP	true
PERT	ALP	true
PETR	LNP	true
RANK	ALP	true
REID	ALP	true
RICH	ALP	true
RIVE	NAT	true
ROBE	ALP	true
RYAN	GRN	true
SCUL	ALP	true
SHOR	ALP	true
SOLO	ALP	true
SPEN	ALP	true
STUR	LIB	true
SWAN	ALP	true
SYDN	ALP	true
TANG	ALP	true
WANN	LIB	true
WARR	IND	true
WATS	ALP	true
WENT	IND	true
WERR	ALP	true
WHIT	ALP	true
WBAY	LNP	true
WILL	ALP	true
WRIG	LNP	true